Source IP,Destination IP,First_Timestamp,Total_Length,Packet_Count
108.139.10.64,192.168.68.95,2023-12-12 03:56:32.283773952,17552,24
13.227.21.195,192.168.68.95,2023-12-12 03:56:32.139000832,1553,10
13.227.21.29,192.168.68.95,2023-12-12 03:56:36.512933120,40133,39
13.35.122.76,192.168.68.95,2023-12-12 03:56:38.173858048,14595,28
142.250.105.100,192.168.68.95,2023-12-12 03:56:39.884924928,12535,16
143.204.130.151,192.168.68.95,2023-12-12 03:56:37.663547904,36571,33
151.101.201.51,192.168.68.95,2023-12-12 03:56:32.095209984,1447,12
151.101.202.109,192.168.68.95,2023-12-12 03:56:33.681353984,66,1
162.159.128.235,192.168.68.95,2023-12-12 03:56:36.149410048,111,1
173.194.219.132,192.168.68.95,2023-12-12 03:56:39.796478976,5857,7
18.155.192.40,192.168.68.95,2023-12-12 03:56:33.417299968,6694,10
18.155.192.99,192.168.68.95,2023-12-12 03:56:30.817761024,850,7
18.155.206.31,192.168.68.95,2023-12-12 03:56:30.808665088,9366145,6379
18.173.117.170,192.168.68.95,2023-12-12 03:56:36.493270016,1149857,808
18.244.214.97,192.168.68.95,2023-12-12 03:56:39.053297152,182038,130
18.244.218.191,192.168.68.95,2023-12-12 03:56:37.250188032,150361,114
192.168.68.95,108.139.10.64,2023-12-12 03:56:32.253690112,2035,13
192.168.68.95,13.227.21.195,2023-12-12 03:56:32.110968064,1914,9
192.168.68.95,13.227.21.29,2023-12-12 03:56:36.495655936,3000,22
192.168.68.95,13.35.122.76,2023-12-12 03:56:38.152595968,4457,21
192.168.68.95,142.250.105.100,2023-12-12 03:56:39.817334784,1631,11
192.168.68.95,143.204.130.151,2023-12-12 03:56:37.649018880,2031,15
192.168.68.95,151.101.201.51,2023-12-12 03:56:32.067502848,3833,13
192.168.68.95,151.101.202.109,2023-12-12 03:56:33.669673984,55,1
192.168.68.95,162.159.128.235,2023-12-12 03:56:36.134391040,169,2
192.168.68.95,173.194.219.132,2023-12-12 03:56:39.724758016,1036,8
192.168.68.95,18.155.192.40,2023-12-12 03:56:33.399614976,1113,8
192.168.68.95,18.155.192.99,2023-12-12 03:56:30.800187136,1093,6
192.168.68.95,18.155.206.31,2023-12-12 03:56:30.779591168,91113,1414
192.168.68.95,18.173.117.170,2023-12-12 03:56:36.474880000,17786,244
192.168.68.95,18.244.214.97,2023-12-12 03:56:39.036605952,3729,45
192.168.68.95,18.244.218.191,2023-12-12 03:56:37.235682048,4113,42
192.168.68.95,192.178.48.227,2023-12-12 03:56:35.484706048,55,1
192.168.68.95,209.54.180.63,2023-12-12 03:56:31.032449024,469375,166
192.168.68.95,3.83.70.210,2023-12-12 03:56:33.053368064,2940,12
192.168.68.95,34.209.16.225,2023-12-12 03:56:39.290824960,7071,28
192.168.68.95,34.228.147.44,2023-12-12 03:56:32.066926080,23184,41
192.168.68.95,34.232.198.21,2023-12-12 03:56:32.367034880,52039,60
192.168.68.95,34.80.0.147,2023-12-12 03:56:30.845873152,1744,8
192.168.68.95,35.165.118.196,2023-12-12 03:56:38.784404992,3014,15
192.168.68.95,35.214.42.68,2023-12-12 03:56:36.590672128,1933,12
192.168.68.95,35.227.159.135,2023-12-12 03:56:37.418067968,1965,12
192.168.68.95,44.194.252.189,2023-12-12 03:56:33.053061888,2043,12
192.168.68.95,44.215.116.28,2023-12-12 03:56:34.587933952,2648,10
192.168.68.95,44.215.132.37,2023-12-12 03:56:35.015202048,81207,28
192.168.68.95,44.215.142.139,2023-12-12 03:56:30.956012032,8338,15
192.168.68.95,52.0.214.134,2023-12-12 03:56:33.053569024,1982,11
192.168.68.95,52.217.235.128,2023-12-12 03:56:34.059764992,2181,14
192.168.68.95,52.41.230.173,2023-12-12 03:56:36.124843008,3218,6
192.168.68.95,52.46.132.119,2023-12-12 03:56:31.384368896,21068,82
192.168.68.95,52.46.155.104,2023-12-12 03:56:32.674716928,3810,11
192.168.68.95,52.46.155.114,2023-12-12 03:56:32.185425152,2838,9
192.168.68.95,54.70.150.187,2023-12-12 03:56:32.253477120,8344,19
192.168.68.95,65.8.161.25,2023-12-12 03:56:32.051548928,8499,20
192.168.68.95,65.8.161.65,2023-12-12 03:56:33.902166016,4602,28
192.168.68.95,67.220.246.105,2023-12-12 03:56:33.510097152,23133,34
192.168.68.95,74.125.138.119,2023-12-12 03:56:34.333133056,108,2
192.168.68.95,74.125.138.148,2023-12-12 03:56:39.724600064,1027,7
192.168.68.95,74.125.138.157,2023-12-12 03:56:38.784687872,2658,25
192.168.68.95,74.125.138.188,2023-12-12 03:56:37.044180992,55,1
192.168.68.95,99.181.127.5,2023-12-12 03:56:32.493725952,5777,22
192.178.48.227,192.168.68.95,2023-12-12 03:56:35.521018112,66,1
209.54.180.63,192.168.68.95,2023-12-12 03:56:31.105815040,76817,259
3.83.70.210,192.168.68.95,2023-12-12 03:56:33.125818112,6799,11
