Source IP,Destination IP,First_Timestamp,Total_Length,Packet_Count
104.244.42.130,192.168.68.95,2023-12-12 04:00:35.099602944,66,1
108.139.10.43,192.168.68.95,2023-12-12 04:00:38.019437056,8219,12
108.139.10.64,192.168.68.95,2023-12-12 04:00:39.677639936,273,4
108.177.122.95,192.168.68.95,2023-12-12 04:00:34.122863104,716,8
13.227.21.29,192.168.68.95,2023-12-12 04:00:36.562551040,213,3
13.227.22.121,192.168.68.95,2023-12-12 04:00:33.511838976,1655146,1149
13.35.122.56,192.168.68.95,2023-12-12 04:00:37.817029120,748727,512
13.35.122.76,192.168.68.95,2023-12-12 04:00:38.372348928,213,3
13.35.122.9,192.168.68.95,2023-12-12 04:00:38.203172096,40908,33
142.250.105.148,192.168.68.95,2023-12-12 04:00:39.277283072,66,1
143.204.130.151,192.168.68.95,2023-12-12 04:00:37.703435776,213,3
151.101.201.140,192.168.68.95,2023-12-12 04:00:38.583642112,66,1
151.101.202.167,192.168.68.95,2023-12-12 04:00:33.706151936,119092,163
151.101.202.214,192.168.68.95,2023-12-12 04:00:38.740390912,8031,15
151.101.65.140,192.168.68.95,2023-12-12 04:00:41.037905920,66,1
151.101.65.16,192.168.68.95,2023-12-12 04:00:39.122024960,98580,85
162.159.136.234,192.168.68.95,2023-12-12 04:00:35.559549952,146,2
172.253.124.94,192.168.68.95,2023-12-12 04:00:41.156886016,66,1
18.155.192.106,192.168.68.95,2023-12-12 04:00:37.974873088,66,1
18.155.202.85,192.168.68.95,2023-12-12 04:00:33.556928000,8303,13
18.155.204.222,192.168.68.95,2023-12-12 04:00:36.223953920,9793,14
18.173.117.170,192.168.68.95,2023-12-12 04:00:36.849318912,426,6
18.238.185.15,192.168.68.95,2023-12-12 04:00:34.075508992,1009333,715
18.238.192.39,192.168.68.95,2023-12-12 04:00:34.093871104,13961,16
18.244.214.17,192.168.68.95,2023-12-12 04:00:32.585874944,1174839,807
18.244.214.77,192.168.68.95,2023-12-12 04:00:33.582865920,3588,17
18.244.214.97,192.168.68.95,2023-12-12 04:00:39.329849856,213,3
18.244.218.191,192.168.68.95,2023-12-12 04:00:37.286535936,213,3
192.168.68.95,104.244.42.130,2023-12-12 04:00:35.070502144,55,1
192.168.68.95,108.139.10.43,2023-12-12 04:00:38.001935104,2076,11
