Source IP,Destination IP,First_Timestamp,Total_Length,Packet_Count
104.19.148.8,192.168.68.95,2023-12-12 04:04:56.297053952,2028,15
134.197.15.101,192.168.68.95,2023-12-12 04:04:56.049693184,1230952,862
151.101.201.140,192.168.68.95,2023-12-12 04:04:57.021966848,198,3
151.101.202.109,192.168.68.95,2023-12-12 04:04:56.288013056,1095,9
162.247.241.14,192.168.68.95,2023-12-12 04:04:56.103940864,17149,64
172.217.0.35,192.168.68.95,2023-12-12 04:04:57.454348032,66,1
18.155.202.123,192.168.68.95,2023-12-12 04:04:57.094487808,1511,10
18.155.202.40,192.168.68.95,2023-12-12 04:04:57.103692032,1580,12
184.169.148.176,192.168.68.95,2023-12-12 04:04:55.935235072,5295,19
192.168.68.95,104.19.148.8,2023-12-12 04:04:56.270415104,2279,20
192.168.68.95,134.197.15.101,2023-12-12 04:04:56.001382144,15723,168
192.168.68.95,151.101.201.140,2023-12-12 04:04:57.008781056,165,3
192.168.68.95,151.101.202.109,2023-12-12 04:04:56.275325184,752,8
192.168.68.95,162.247.241.14,2023-12-12 04:04:56.090297088,37838,65
192.168.68.95,172.217.0.35,2023-12-12 04:04:57.380847872,55,1
192.168.68.95,18.155.202.123,2023-12-12 04:04:57.079358976,2119,13
192.168.68.95,18.155.202.40,2023-12-12 04:04:57.090627840,2132,10
192.168.68.95,184.169.148.176,2023-12-12 04:04:55.919787008,3735,17
192.168.68.95,192.30.255.112,2023-12-12 04:05:00.066286080,162,3
192.168.68.95,34.198.122.35,2023-12-12 04:04:56.994326016,4443,16
192.168.68.95,52.46.133.255,2023-12-12 04:04:58.714256896,162,3
192.30.255.112,192.168.68.95,2023-12-12 04:05:00.066205952,291,4
34.198.122.35,192.168.68.95,2023-12-12 04:04:57.070887168,22212,27
34.80.0.147,192.168.68.95,2023-12-12 04:04:55.413707008,66,1
52.46.133.255,192.168.68.95,2023-12-12 04:04:58.714225920,205,3
