Source IP,Destination IP,First_Timestamp,Total_Length,Packet_Count
185.199.111.154,192.168.68.95,2023-12-12 03:55:32.054797056,198,3
192.168.68.95,185.199.111.154,2023-12-12 03:55:32.038436864,108,2
192.168.68.95,44.216.230.228,2023-12-12 03:55:32.038499072,108,2
192.168.68.95,52.41.230.173,2023-12-12 03:55:32.057928960,18308,53
192.168.68.95,64.233.161.94,2023-12-12 03:55:27.884710144,55,1
192.168.68.95,74.125.138.101,2023-12-12 03:55:32.114669056,2367,13
192.168.68.95,74.125.138.119,2023-12-12 03:55:34.625046016,55,1
44.216.230.228,192.168.68.95,2023-12-12 03:55:32.113176064,138,2
52.41.230.173,192.168.68.95,2023-12-12 03:55:32.100872960,44807,91
64.233.161.94,192.168.68.95,2023-12-12 03:55:28.062635776,66,1
74.125.138.101,192.168.68.95,2023-12-12 03:55:32.190542080,18093,21
74.125.138.119,192.168.68.95,2023-12-12 03:55:34.695151104,66,1
